NZ_CP018296.1, Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia
NC_013501.1, Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus
NC_008752.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax
CP004005, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Liberibacter
NZ_LN831027.1, Bacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium
NZ_MDHN01000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas
NZ_KB890221.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium
NZ_AWTB01000001.1, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NZ_JXYE01000002, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Loktanella
NZ_CP014955.1, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacteroides
QOUU01000001, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
NZ_CP045769.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
CP025034, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Lelliottia
NC_004310.3, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella
FP236843, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Erwinia
NZ_CP023484, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Dickeya; unclassified Dickeya
NZ_KN046823, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella
NZ_CP013922.1, Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
NZ_LT629758, Bacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes
NZ_CP015286.1, Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
NZ_PKKP01000001.1, Bacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces
NZ_MUYO01000001.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NZ_HF571038.1, Bacteria; Actinobacteria; Micrococcales; Intrasporangiaceae; Tetrasphaera
CP034433, Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Iodobacter
NZ_CP035780.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium
CP013913, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
NZ_SPGG01000010.1, Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides
NZ_CP011028.1, Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
NZ_UGQI01000002.1, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
NZ_AP022561.1, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
NZ_VISK01000013.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum
NZ_ADEZ01000001.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella
NC_016111.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
